Contender,Jab,Power,Displacement,Knockout,Drat,Weight,Quickness,Versatility,Agility,Rounds,Punches
Muhammad Ali,21,6,160,110,3.9,2.62,16.46,0,1,4,4
Mike Tyson,21,6,160,110,3.9,2.875,17.02,0,1,4,4
Floyd Mayweather Jr.,22.8,4,108,93,3.85,2.32,18.61,1,1,4,1
Manny Pacquiao,21.4,6,258,110,3.08,3.215,19.44,1,0,3,1
Sugar Ray Robinson,18.7,8,360,175,3.15,3.44,17.02,0,0,3,2
Joe Louis,18.1,6,225,105,2.76,3.46,20.22,1,0,3,1
Rocky Marciano,14.3,8,360,245,3.21,3.57,15.84,0,0,3,4
Sugar Ray Leonard,24.4,4,146.7,62,3.69,3.19,20,1,0,4,2
George Foreman,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
Evander Holyfield,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
Joe Frazier,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
Lennox Lewis,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
Oscar De La Hoya,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
Marvin Hagler,15.2,8,275.8,180,3.07,3.78,18,0,0,3,3
Roberto Durán,10.4,8,472,205,2.93,5.25,17.98,0,0,3,4
Roy Jones Jr.,10.4,8,460,215,3,5.424,17.82,0,0,3,4
Bernard Hopkins,14.7,8,440,230,3.23,5.345,17.42,0,0,3,4
Larry Holmes,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
Sonny Liston,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
Julio César Chávez,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
Floyd Patterson,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
Jack Dempsey,15.5,8,318,150,2.76,3.52,16.87,0,0,3,2
Tommy Hearns,15.2,8,304,150,3.15,3.435,17.3,0,0,3,2
Gene Tunney,13.3,8,350,245,3.73,3.84,15.41,0,0,3,4
Henry Armstrong,19.2,8,400,175,3.08,3.845,17.05,0,0,3,2
Pernell Whitaker,27.3,4,79,66,4.08,1.935,18.9,1,1,4,1
Wilfredo Gómez,26,4,120.3,91,4.43,2.14,16.7,0,1,5,2
Salvador Sánchez,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
Erik Morales,15.8,8,351,264,4.22,3.17,14.5,0,1,5,4
Alexis Argüello,19.7,6,145,175,3.62,2.77,15.5,0,1,5,6
Marco Antonio Barrera,15,8,301,335,3.54,3.57,14.6,0,1,5,8
